Threshold,Vis bucket,ID,Scenario,Fan-Out,Fan-In,Cycle,Gather-Scatter,Scatter-Gather,Stack,Random,Bipartite,Overall
>=50%,vis=100,V1,FedGraphSimple (SplitFed),0.976,0.776,0.833,0.939,0.875,0.705,1.0,1.0,0.893
>=50%,vis>=50,S2,"Full-info GNN (R1, LN)",,,0.792,,0.979,1.0,0.917,1.0,0.933
>=50%,vis>=50,F1,FedAvg (GNN),,,0.167,,0.292,0.667,0.083,0.75,0.317
>=50%,vis>=50,P2,FedProx (mu=0.1),,,0.458,,0.646,0.833,0.417,1.0,0.625
>=50%,vis>=50,V1,FedGraphSimple (SplitFed),,,0.708,,0.958,0.917,1.0,1.0,0.904
>=50%,vis<50,S2,"Full-info GNN (R1, LN)",,,0.929,,,0.932,0.944,0.812,0.907
>=50%,vis<50,F1,FedAvg (GNN),,,0.071,,,0.182,0.111,0.25,0.157
>=50%,vis<50,P2,FedProx (mu=0.1),,,0.536,,,0.705,0.639,0.562,0.621
>=50%,vis<50,V1,FedGraphSimple (SplitFed),,,0.75,,,0.864,0.944,0.719,0.829
>=50%,Overall,S2,"Full-info GNN (R1, LN)",0.929,0.908,0.818,0.98,0.966,0.88,0.956,0.912,0.922
>=50%,Overall,F1,FedAvg (GNN),0.321,0.132,0.148,0.25,0.205,0.2,0.088,0.175,0.198
>=50%,Overall,P2,FedProx (mu=0.1),0.667,0.276,0.386,0.561,0.42,0.48,0.426,0.325,0.456
>=50%,Overall,V1,FedGraphSimple (SplitFed),0.976,0.776,0.773,0.939,0.92,0.8,0.971,0.888,0.883
100%,vis=100,S2,"Full-info GNN (R1, LN)",0.774,0.724,0.694,0.811,0.925,0.795,0.9,0.975,0.807
100%,vis=100,F1,FedAvg (GNN),0.167,0.026,0.083,0.061,0.025,0.068,0.0,0.0,0.066
100%,vis=100,P2,FedProx (mu=0.1),0.357,0.039,0.111,0.196,0.075,0.068,0.05,0.0,0.15
100%,vis=100,V1,FedGraphSimple (SplitFed),0.845,0.434,0.778,0.764,0.7,0.659,1.0,1.0,0.742
100%,vis>=50,S2,"Full-info GNN (R1, LN)",,,0.625,,0.792,0.5,0.833,1.0,0.74
100%,vis>=50,F1,FedAvg (GNN),,,0.0,,0.0,0.0,0.0,0.0,0.0
100%,vis>=50,P2,FedProx (mu=0.1),,,0.125,,0.0,0.25,0.167,0.0,0.077
100%,vis>=50,V1,FedGraphSimple (SplitFed),,,0.375,,0.229,0.667,0.583,0.875,0.404
100%,vis<50,S2,"Full-info GNN (R1, LN)",,,0.607,,,0.25,0.5,0.156,0.364
100%,vis<50,F1,FedAvg (GNN),,,0.036,,,0.0,0.0,0.0,0.007
100%,vis<50,P2,FedProx (mu=0.1),,,0.179,,,0.0,0.139,0.0,0.071
100%,vis<50,V1,FedGraphSimple (SplitFed),,,0.286,,,0.114,0.333,0.188,0.221
100%,Overall,S2,"Full-info GNN (R1, LN)",0.774,0.724,0.648,0.811,0.852,0.52,0.676,0.65,0.713
100%,Overall,F1,FedAvg (GNN),0.167,0.026,0.045,0.061,0.011,0.03,0.0,0.0,0.045
100%,Overall,P2,FedProx (mu=0.1),0.357,0.039,0.136,0.196,0.034,0.06,0.118,0.0,0.124
100%,Overall,V1,FedGraphSimple (SplitFed),0.845,0.434,0.511,0.764,0.443,0.42,0.574,0.662,0.594
Individual,vis=100,S2,"Full-info GNN (R1, LN)",0.939,0.829,0.729,0.954,0.972,0.859,0.917,0.975,0.925
Individual,vis=100,F1,FedAvg (GNN),0.351,0.118,0.188,0.229,0.167,0.062,0.042,0.0,0.219
Individual,vis=100,P2,FedProx (mu=0.1),0.666,0.311,0.208,0.573,0.311,0.109,0.083,0.0,0.501
Individual,vis=100,V1,FedGraphSimple (SplitFed),0.947,0.598,0.812,0.904,0.717,0.766,1.0,1.0,0.846
Individual,vis>=50,S2,"Full-info GNN (R1, LN)",,,0.726,,0.937,0.786,0.917,1.0,0.906
Individual,vis>=50,F1,FedAvg (GNN),,,0.25,,0.326,0.429,0.167,0.375,0.314
Individual,vis>=50,P2,FedProx (mu=0.1),,,0.492,,0.589,0.607,0.472,0.5,0.571
Individual,vis>=50,V1,FedGraphSimple (SplitFed),,,0.581,,0.765,0.821,0.861,0.938,0.75
Individual,vis<50,S2,"Full-info GNN (R1, LN)",,,0.871,,,0.795,0.895,0.678,0.814
Individual,vis<50,F1,FedAvg (GNN),,,0.17,,,0.298,0.145,0.226,0.219
Individual,vis<50,P2,FedProx (mu=0.1),,,0.496,,,0.574,0.478,0.514,0.522
Individual,vis<50,V1,FedGraphSimple (SplitFed),,,0.674,,,0.676,0.801,0.62,0.696
Individual,Overall,S2,"Full-info GNN (R1, LN)",0.939,0.829,0.808,0.954,0.944,0.803,0.899,0.742,0.897
Individual,Overall,F1,FedAvg (GNN),0.351,0.118,0.197,0.229,0.296,0.274,0.14,0.201,0.238
Individual,Overall,P2,FedProx (mu=0.1),0.666,0.311,0.46,0.573,0.537,0.513,0.449,0.436,0.52
Individual,Overall,V1,FedGraphSimple (SplitFed),0.947,0.598,0.662,0.904,0.756,0.697,0.821,0.697,0.794
